region,year,builtup_area
AHMADABAD.geojson,2005,492.88512
AHMADABAD.geojson,2006,492.88512
AHMADABAD.geojson,2007,493.02624
AHMADABAD.geojson,2008,543.801216
AHMADABAD.geojson,2009,543.801216
AHMADABAD.geojson,2010,543.801216
AHMADABAD.geojson,2011,543.418624
AHMADABAD.geojson,2012,543.801216
AHMADABAD.geojson,2013,543.801216
AHMADABAD.geojson,2014,543.801216
AHMADABAD.geojson,2015,543.704
AHMADABAD.geojson,2016,546.077952
AHMADABAD.geojson,2017,545.181056
BENGALURU.geojson,2005,979.253632
BENGALURU.geojson,2006,959.822976
BENGALURU.geojson,2007,986.3504
BENGALURU.geojson,2008,992.205312
BENGALURU.geojson,2009,1001.81088
BENGALURU.geojson,2010,1004.79008
BENGALURU.geojson,2011,1004.529792
BENGALURU.geojson,2012,1005.915904
BENGALURU.geojson,2013,1005.915904
BENGALURU.geojson,2014,1005.93472
BENGALURU.geojson,2015,1006.668544
BENGALURU.geojson,2016,1006.455296
BENGALURU.geojson,2017,1005.821824
HYDERABAD.geojson,2005,1128.658944
HYDERABAD.geojson,2006,1181.83296
HYDERABAD.geojson,2007,1189.306048
HYDERABAD.geojson,2008,1191.921472
HYDERABAD.geojson,2009,1191.921472
HYDERABAD.geojson,2010,1192.33856
HYDERABAD.geojson,2011,1193.708992
HYDERABAD.geojson,2012,1194.577664
HYDERABAD.geojson,2013,1194.577664
HYDERABAD.geojson,2014,1194.577664
HYDERABAD.geojson,2015,1194.70624
HYDERABAD.geojson,2016,1196.481216
HYDERABAD.geojson,2017,1196.553344
INDORE.geojson,2005,227.73632
INDORE.geojson,2006,228.470144
INDORE.geojson,2007,228.297664
INDORE.geojson,2008,262.29504
INDORE.geojson,2009,262.840704
INDORE.geojson,2010,262.84384
INDORE.geojson,2011,259.45696
INDORE.geojson,2012,262.84384
INDORE.geojson,2013,262.84384
INDORE.geojson,2014,262.84384
INDORE.geojson,2015,262.82816
INDORE.geojson,2016,262.73408
INDORE.geojson,2017,264.261312
JAIPUR.geojson,2005,348.0176
JAIPUR.geojson,2006,347.910976
JAIPUR.geojson,2007,347.979968
JAIPUR.geojson,2008,349.05248
JAIPUR.geojson,2009,349.41312
JAIPUR.geojson,2010,351.34176
JAIPUR.geojson,2011,351.448384
JAIPUR.geojson,2012,351.448384
JAIPUR.geojson,2013,351.448384
JAIPUR.geojson,2014,351.448384
JAIPUR.geojson,2015,351.426432
JAIPUR.geojson,2016,351.486016
JAIPUR.geojson,2017,399.482496
NAGPUR.geojson,2005,330.493632
NAGPUR.geojson,2006,330.791552
NAGPUR.geojson,2007,330.835456
NAGPUR.geojson,2008,330.835456
NAGPUR.geojson,2009,330.885632
NAGPUR.geojson,2010,330.885632
NAGPUR.geojson,2011,333.181184
NAGPUR.geojson,2012,333.290944
NAGPUR.geojson,2013,333.290944
NAGPUR.geojson,2014,333.290944
NAGPUR.geojson,2015,333.337984
NAGPUR.geojson,2016,333.344256
NAGPUR.geojson,2017,333.021248
PIMPRI CHINCHWAD.geojson,2005,551.456192
PIMPRI CHINCHWAD.geojson,2006,562.560768
PIMPRI CHINCHWAD.geojson,2007,563.269504
PIMPRI CHINCHWAD.geojson,2008,564.592896
PIMPRI CHINCHWAD.geojson,2009,565.75008
PIMPRI CHINCHWAD.geojson,2010,565.79712
PIMPRI CHINCHWAD.geojson,2011,567.547008
PIMPRI CHINCHWAD.geojson,2012,568.613248
PIMPRI CHINCHWAD.geojson,2013,568.613248
PIMPRI CHINCHWAD.geojson,2014,569.312576
PIMPRI CHINCHWAD.geojson,2015,569.32512
PIMPRI CHINCHWAD.geojson,2016,587.306944
PIMPRI CHINCHWAD.geojson,2017,587.501376
PUNE.geojson,2005,551.148864
PUNE.geojson,2006,562.265984
PUNE.geojson,2007,562.9904
PUNE.geojson,2008,564.304384
PUNE.geojson,2009,565.470976
PUNE.geojson,2010,565.518016
PUNE.geojson,2011,567.233408
PUNE.geojson,2012,568.302784
PUNE.geojson,2013,568.302784
PUNE.geojson,2014,569.002112
PUNE.geojson,2015,568.945664
PUNE.geojson,2016,592.763584
PUNE.geojson,2017,593.3312
