region,year,builtup_area
ANDHRA PRADESH_STATE.geojson,2005,3879.990912
ANDHRA PRADESH_STATE.geojson,2006,4331.477696
ANDHRA PRADESH_STATE.geojson,2007,4382.672896
ANDHRA PRADESH_STATE.geojson,2008,4411.618176
ANDHRA PRADESH_STATE.geojson,2009,4411.618176
ANDHRA PRADESH_STATE.geojson,2010,4440.005248
ANDHRA PRADESH_STATE.geojson,2011,4665.6624
ANDHRA PRADESH_STATE.geojson,2012,4668.945792
ANDHRA PRADESH_STATE.geojson,2013,4668.945792
ANDHRA PRADESH_STATE.geojson,2014,4668.945792
ANDHRA PRADESH_STATE.geojson,2015,4668.948928
ANDHRA PRADESH_STATE.geojson,2016,4676.867328
ANDHRA PRADESH_STATE.geojson,2017,4678.055872
BIHAR_STATE.geojson,2005,4855.644416
BIHAR_STATE.geojson,2006,4745.74016
BIHAR_STATE.geojson,2007,4988.331712
BIHAR_STATE.geojson,2008,5015.853248
BIHAR_STATE.geojson,2009,5025.088768
BIHAR_STATE.geojson,2010,5027.490944
BIHAR_STATE.geojson,2011,5034.274112
BIHAR_STATE.geojson,2012,5036.691968
BIHAR_STATE.geojson,2013,5036.691968
BIHAR_STATE.geojson,2014,5036.691968
BIHAR_STATE.geojson,2015,5037.46656
BIHAR_STATE.geojson,2016,5036.303104
BIHAR_STATE.geojson,2017,5038.953024
CHHATTISGARH_STATE.geojson,2005,3856.546176
CHHATTISGARH_STATE.geojson,2006,3990.274624
CHHATTISGARH_STATE.geojson,2007,3991.146432
CHHATTISGARH_STATE.geojson,2008,3991.146432
CHHATTISGARH_STATE.geojson,2009,4028.919552
CHHATTISGARH_STATE.geojson,2010,4031.353088
CHHATTISGARH_STATE.geojson,2011,4020.86944
CHHATTISGARH_STATE.geojson,2012,4035.903424
CHHATTISGARH_STATE.geojson,2013,4035.90656
CHHATTISGARH_STATE.geojson,2014,4035.90656
CHHATTISGARH_STATE.geojson,2015,4035.997504
CHHATTISGARH_STATE.geojson,2016,4056.00832
CHHATTISGARH_STATE.geojson,2017,4056.045952
MADHYA PRADESH_STATE.geojson,2005,4087.992384
MADHYA PRADESH_STATE.geojson,2006,4099.507776
MADHYA PRADESH_STATE.geojson,2007,4100.969152
MADHYA PRADESH_STATE.geojson,2008,4430.967296
MADHYA PRADESH_STATE.geojson,2009,4432.905344
MADHYA PRADESH_STATE.geojson,2010,4433.510592
MADHYA PRADESH_STATE.geojson,2011,4377.238208
MADHYA PRADESH_STATE.geojson,2012,4434.592512
MADHYA PRADESH_STATE.geojson,2013,4434.592512
MADHYA PRADESH_STATE.geojson,2014,4435.147584
MADHYA PRADESH_STATE.geojson,2015,4435.912768
MADHYA PRADESH_STATE.geojson,2016,4521.03008
MADHYA PRADESH_STATE.geojson,2017,4521.102208
MEGHALAYA_STATE.geojson,2005,272.922944
MEGHALAYA_STATE.geojson,2006,302.464064
MEGHALAYA_STATE.geojson,2007,306.289984
MEGHALAYA_STATE.geojson,2008,314.28992
MEGHALAYA_STATE.geojson,2009,314.35264
MEGHALAYA_STATE.geojson,2010,314.365184
MEGHALAYA_STATE.geojson,2011,396.286912
MEGHALAYA_STATE.geojson,2012,499.928576
MEGHALAYA_STATE.geojson,2013,502.19904
MEGHALAYA_STATE.geojson,2014,502.19904
MEGHALAYA_STATE.geojson,2015,502.446784
MEGHALAYA_STATE.geojson,2016,502.311936
MEGHALAYA_STATE.geojson,2017,502.409152
TAMIL NADU_STATE.geojson,2005,3968.441792
TAMIL NADU_STATE.geojson,2006,5582.108224
