region,year,mean_rainfall,builtup_area
AHMADABAD,2005,1383.3673,492.88512
AHMADABAD,2006,1316.3223,492.88512
AHMADABAD,2007,1094.0785,493.02624
AHMADABAD,2008,692.1089,543.801216
AHMADABAD,2009,481.99307,543.801216
AHMADABAD,2010,858.5434,543.801216
AHMADABAD,2011,1023.8063,543.418624
AHMADABAD,2012,681.22736,543.801216
AHMADABAD,2013,969.6742,543.801216
AHMADABAD,2014,611.9057,543.801216
AHMADABAD,2015,643.4318,543.704
AHMADABAD,2016,629.81354,546.077952
AHMADABAD,2017,793.2528,545.181056
BENGALURU,2005,550.5194,979.253632
BENGALURU,2006,280.56876,959.822976
BENGALURU,2007,471.9377,986.3504
BENGALURU,2008,446.3709,992.205312
BENGALURU,2009,463.99872,1001.81088
BENGALURU,2010,483.44873,1004.79008
BENGALURU,2011,385.98987,1004.529792
BENGALURU,2012,415.6862,1005.915904
BENGALURU,2013,477.4647,1005.915904
BENGALURU,2014,514.24634,1005.93472
BENGALURU,2015,517.367,1006.668544
BENGALURU,2016,479.85614,1006.455296
BENGALURU,2017,666.1212,1005.821824
HYDERABAD,2005,760.52515,1128.658944
HYDERABAD,2006,572.85406,1181.83296
HYDERABAD,2007,675.8092,1189.306048
HYDERABAD,2008,739.6347,1191.921472
HYDERABAD,2009,491.0973,1191.921472
HYDERABAD,2010,847.0207,1192.33856
HYDERABAD,2011,536.0106,1193.708992
HYDERABAD,2012,638.487,1194.577664
HYDERABAD,2013,814.4136,1194.577664
HYDERABAD,2014,510.70596,1194.577664
HYDERABAD,2015,572.38464,1194.70624
HYDERABAD,2016,832.6978,1196.481216
HYDERABAD,2017,656.57043,1196.553344
INDORE,2005,730.551,227.73632
INDORE,2006,1146.2097,228.470144
INDORE,2007,794.32434,228.297664
INDORE,2008,620.6943,262.29504
INDORE,2009,683.5177,262.840704
INDORE,2010,734.9518,262.84384
INDORE,2011,1037.4126,259.45696
INDORE,2012,1012.6354,262.84384
INDORE,2013,1228.8408,262.84384
INDORE,2014,762.1426,262.84384
INDORE,2015,869.7587,262.82816
INDORE,2016,1006.2196,262.73408
INDORE,2017,742.44147,264.261312
JAIPUR,2005,490.29944,348.0176
JAIPUR,2006,317.45398,347.910976
JAIPUR,2007,398.3843,347.979968
JAIPUR,2008,665.59357,349.05248
JAIPUR,2009,318.52017,349.41312
JAIPUR,2010,681.04974,351.34176
JAIPUR,2011,665.2464,351.448384
JAIPUR,2012,635.1584,351.448384
JAIPUR,2013,640.7912,351.448384
JAIPUR,2014,484.82977,351.448384
JAIPUR,2015,447.83124,351.426432
JAIPUR,2016,632.56067,351.486016
JAIPUR,2017,422.53262,399.482496
NAGPUR,2005,1053.161,330.493632
NAGPUR,2006,923.43695,330.791552
NAGPUR,2007,1116.8551,330.835456
NAGPUR,2008,873.0616,330.835456
NAGPUR,2009,831.206,330.885632
NAGPUR,2010,1234.5273,330.885632
NAGPUR,2011,1003.0663,333.181184
NAGPUR,2012,1139.1389,333.290944
NAGPUR,2013,1481.9435,333.290944
NAGPUR,2014,895.76276,333.290944
NAGPUR,2015,911.618,333.337984
NAGPUR,2016,1146.4084,333.344256
NAGPUR,2017,802.1777,333.021248
PIMPRI CHINCHWAD,2005,6205.6895,551.456192
PIMPRI CHINCHWAD,2006,2538.3052,562.560768
PIMPRI CHINCHWAD,2007,1948.6215,563.269504
PIMPRI CHINCHWAD,2008,1345.6178,564.592896
PIMPRI CHINCHWAD,2009,1676.2723,565.75008
PIMPRI CHINCHWAD,2010,1518.0034,565.79712
PIMPRI CHINCHWAD,2011,1395.8176,567.547008
PIMPRI CHINCHWAD,2012,938.05756,568.613248
PIMPRI CHINCHWAD,2013,1173.5117,568.613248
PIMPRI CHINCHWAD,2014,867.0355,569.312576
PIMPRI CHINCHWAD,2015,588.5793,569.32512
PIMPRI CHINCHWAD,2016,980.04047,587.306944
PIMPRI CHINCHWAD,2017,864.4937,587.501376
PUNE,2005,6409.6216,551.148864
PUNE,2006,2195.2034,562.265984
PUNE,2007,1804.5027,562.9904
PUNE,2008,1223.111,564.304384
PUNE,2009,1641.8818,565.470976
PUNE,2010,1484.0034,565.518016
PUNE,2011,1372.6035,567.233408
PUNE,2012,935.59296,568.302784
PUNE,2013,1166.3102,568.302784
PUNE,2014,864.53894,569.002112
PUNE,2015,588.51196,568.945664
PUNE,2016,975.5593,592.763584
PUNE,2017,869.57605,593.3312
