region,year,mean_rainfall
ANDHRA PRADESH_STATE.geojson,2005,1146.207
ANDHRA PRADESH_STATE.geojson,2006,929.1587
ANDHRA PRADESH_STATE.geojson,2007,1118.2568
ANDHRA PRADESH_STATE.geojson,2008,980.8447
ANDHRA PRADESH_STATE.geojson,2009,726.19525
ANDHRA PRADESH_STATE.geojson,2010,1338.5406
ANDHRA PRADESH_STATE.geojson,2011,775.445
ANDHRA PRADESH_STATE.geojson,2012,994.97095
ANDHRA PRADESH_STATE.geojson,2013,929.5342
ANDHRA PRADESH_STATE.geojson,2014,711.94794
ANDHRA PRADESH_STATE.geojson,2015,1022.6933
ANDHRA PRADESH_STATE.geojson,2016,768.60205
ANDHRA PRADESH_STATE.geojson,2017,891.43066
BIHAR_STATE.geojson,2005,987.91547
BIHAR_STATE.geojson,2006,1060.6116
BIHAR_STATE.geojson,2007,1558.4757
BIHAR_STATE.geojson,2008,1220.8115
BIHAR_STATE.geojson,2009,944.2225
BIHAR_STATE.geojson,2010,785.6339
BIHAR_STATE.geojson,2011,1182.6189
BIHAR_STATE.geojson,2012,1081.3679
BIHAR_STATE.geojson,2013,1085.0641
BIHAR_STATE.geojson,2014,1114.2141
BIHAR_STATE.geojson,2015,976.0817
BIHAR_STATE.geojson,2016,1214.9774
BIHAR_STATE.geojson,2017,1166.3597
CHHATTISGARH_STATE.geojson,2005,1316.4767
CHHATTISGARH_STATE.geojson,2006,1412.4883
CHHATTISGARH_STATE.geojson,2007,1331.0918
CHHATTISGARH_STATE.geojson,2008,1246.1377
CHHATTISGARH_STATE.geojson,2009,1002.40027
CHHATTISGARH_STATE.geojson,2010,1271.6965
CHHATTISGARH_STATE.geojson,2011,1310.1323
CHHATTISGARH_STATE.geojson,2012,1396.1776
CHHATTISGARH_STATE.geojson,2013,1403.8262
CHHATTISGARH_STATE.geojson,2014,1290.7012
CHHATTISGARH_STATE.geojson,2015,1136.0256
CHHATTISGARH_STATE.geojson,2016,1306.81
CHHATTISGARH_STATE.geojson,2017,1121.4073
MADHYA PRADESH_STATE.geojson,2005,1013.3359
MADHYA PRADESH_STATE.geojson,2006,1019.26624
MADHYA PRADESH_STATE.geojson,2007,757.66235
MADHYA PRADESH_STATE.geojson,2008,901.5983
MADHYA PRADESH_STATE.geojson,2009,918.41473
MADHYA PRADESH_STATE.geojson,2010,840.6973
MADHYA PRADESH_STATE.geojson,2011,1143.0225
MADHYA PRADESH_STATE.geojson,2012,1028.6442
MADHYA PRADESH_STATE.geojson,2013,1456.8191
MADHYA PRADESH_STATE.geojson,2014,903.6667
MADHYA PRADESH_STATE.geojson,2015,999.58875
MADHYA PRADESH_STATE.geojson,2016,1186.528
MADHYA PRADESH_STATE.geojson,2017,785.1674
MEGHALAYA_STATE.geojson,2005,4230.917
MEGHALAYA_STATE.geojson,2006,1582.6201
MEGHALAYA_STATE.geojson,2007,4414.254
MEGHALAYA_STATE.geojson,2008,3062.309
MEGHALAYA_STATE.geojson,2009,2856.8713
MEGHALAYA_STATE.geojson,2010,5377.994
MEGHALAYA_STATE.geojson,2011,1493.7319
MEGHALAYA_STATE.geojson,2012,1886.6272
MEGHALAYA_STATE.geojson,2013,3157.9758
MEGHALAYA_STATE.geojson,2014,4154.075
MEGHALAYA_STATE.geojson,2015,5014.3545
MEGHALAYA_STATE.geojson,2016,3983.2021
MEGHALAYA_STATE.geojson,2017,4706.0615
TAMIL NADU_STATE.geojson,2005,1339.1432
TAMIL NADU_STATE.geojson,2006,913.43994
TAMIL NADU_STATE.geojson,2007,1000.6557
TAMIL NADU_STATE.geojson,2008,1375.4276
TAMIL NADU_STATE.geojson,2009,1088.7803
TAMIL NADU_STATE.geojson,2010,1176.991
TAMIL NADU_STATE.geojson,2011,1560.384
TAMIL NADU_STATE.geojson,2012,1257.9502
TAMIL NADU_STATE.geojson,2013,718.0934
TAMIL NADU_STATE.geojson,2014,888.0408
TAMIL NADU_STATE.geojson,2015,1203.9827
TAMIL NADU_STATE.geojson,2016,533.7686
TAMIL NADU_STATE.geojson,2017,961.7771
TELANGANA_STATE.geojson,2005,1183.5741
TELANGANA_STATE.geojson,2006,956.3245
TELANGANA_STATE.geojson,2007,845.3462
TELANGANA_STATE.geojson,2008,1110.7075
TELANGANA_STATE.geojson,2009,657.9542
TELANGANA_STATE.geojson,2010,1307.0615
TELANGANA_STATE.geojson,2011,696.9319
TELANGANA_STATE.geojson,2012,995.664
TELANGANA_STATE.geojson,2013,1326.4059
TELANGANA_STATE.geojson,2014,772.6916
TELANGANA_STATE.geojson,2015,850.2451
TELANGANA_STATE.geojson,2016,1078.9668
TELANGANA_STATE.geojson,2017,853.79895
UTTAR PRADESH_STATE.geojson,2005,803.7365
UTTAR PRADESH_STATE.geojson,2006,645.13245
UTTAR PRADESH_STATE.geojson,2007,786.29535
UTTAR PRADESH_STATE.geojson,2008,1049.1323
UTTAR PRADESH_STATE.geojson,2009,708.94543
UTTAR PRADESH_STATE.geojson,2010,823.0486
UTTAR PRADESH_STATE.geojson,2011,941.91046
UTTAR PRADESH_STATE.geojson,2012,846.35205
UTTAR PRADESH_STATE.geojson,2013,1013.92285
UTTAR PRADESH_STATE.geojson,2014,648.90826
UTTAR PRADESH_STATE.geojson,2015,617.97546
UTTAR PRADESH_STATE.geojson,2016,819.4397
UTTAR PRADESH_STATE.geojson,2017,694.1321
UTTARAKHAND_STATE.geojson,2005,1312.0931
UTTARAKHAND_STATE.geojson,2006,1142.2058
UTTARAKHAND_STATE.geojson,2007,1743.7703
UTTARAKHAND_STATE.geojson,2008,1276.6699
UTTARAKHAND_STATE.geojson,2009,929.742
UTTARAKHAND_STATE.geojson,2010,1790.0847
UTTARAKHAND_STATE.geojson,2011,1363.3613
UTTARAKHAND_STATE.geojson,2012,1086.4453
UTTARAKHAND_STATE.geojson,2013,1727.3594
UTTARAKHAND_STATE.geojson,2014,1312.7755
UTTARAKHAND_STATE.geojson,2015,1243.5105
UTTARAKHAND_STATE.geojson,2016,1409.0608
UTTARAKHAND_STATE.geojson,2017,1595.5939
