region,year,mean_rainfall,builtup_area
ANDHRA PRADESH,2005,579.36957,3879.990912
ANDHRA PRADESH,2006,509.40802,4331.477696
ANDHRA PRADESH,2007,771.2373,4382.672896
ANDHRA PRADESH,2008,531.5132,4411.618176
ANDHRA PRADESH,2009,433.2731,4411.618176
ANDHRA PRADESH,2010,716.8021,4440.005248
ANDHRA PRADESH,2011,466.79108,4665.6624
ANDHRA PRADESH,2012,551.2014,4668.945792
ANDHRA PRADESH,2013,494.33075,4668.945792
ANDHRA PRADESH,2014,419.3886,4668.945792
ANDHRA PRADESH,2015,542.964,4668.948928
ANDHRA PRADESH,2016,553.5557,4676.867328
ANDHRA PRADESH,2017,614.97626,4678.055872
BIHAR,2005,858.85675,4855.644416
BIHAR,2006,943.95404,4745.74016
BIHAR,2007,1379.826,4988.331712
BIHAR,2008,1092.7787,5015.853248
BIHAR,2009,739.6593,5025.088768
BIHAR,2010,660.12103,5027.490944
BIHAR,2011,1012.781,5034.274112
BIHAR,2012,932.8441,5036.691968
BIHAR,2013,726.6484,5036.691968
BIHAR,2014,888.12177,5036.691968
BIHAR,2015,816.7994,5037.46656
BIHAR,2016,1037.9149,5036.303104
BIHAR,2017,965.43475,5038.953024
CHHATTISGARH,2005,1093.7799,3856.546176
CHHATTISGARH,2006,1291.3373,3990.274624
CHHATTISGARH,2007,1206.5732,3991.146432
CHHATTISGARH,2008,1159.13,3991.146432
CHHATTISGARH,2009,825.3874,4028.919552
CHHATTISGARH,2010,1123.6326,4031.353088
CHHATTISGARH,2011,1228.802,4020.86944
CHHATTISGARH,2012,1259.6268,4035.903424
CHHATTISGARH,2013,1136.2222,4035.90656
CHHATTISGARH,2014,1105.2317,4035.90656
CHHATTISGARH,2015,1024.6089,4035.997504
CHHATTISGARH,2016,1155.0745,4056.00832
CHHATTISGARH,2017,1031.8699,4056.045952
MADHYA PRADESH,2005,923.5912,4087.992384
MADHYA PRADESH,2006,931.6545,4099.507776
MADHYA PRADESH,2007,717.34283,4100.969152
MADHYA PRADESH,2008,862.7858,4430.967296
MADHYA PRADESH,2009,728.37225,4432.905344
MADHYA PRADESH,2010,795.36206,4433.510592
MADHYA PRADESH,2011,1128.6438,4377.238208
MADHYA PRADESH,2012,989.4935,4434.592512
MADHYA PRADESH,2013,1302.9435,4434.592512
MADHYA PRADESH,2014,761.8421,4435.147584
MADHYA PRADESH,2015,842.64844,4435.912768
MADHYA PRADESH,2016,1118.8845,4521.03008
MADHYA PRADESH,2017,753.53815,4521.102208
MEGHALAYA,2005,3069.3818,272.922944
MEGHALAYA,2006,1031.4861,302.464064
MEGHALAYA,2007,3350.8462,306.289984
MEGHALAYA,2008,2314.0923,314.28992
MEGHALAYA,2009,2109.8853,314.35264
MEGHALAYA,2010,3400.6777,314.365184
MEGHALAYA,2011,974.0941,396.286912
MEGHALAYA,2012,1310.1716,499.928576
MEGHALAYA,2013,2115.3088,502.19904
MEGHALAYA,2014,3374.0208,502.19904
MEGHALAYA,2015,4017.6692,502.446784
MEGHALAYA,2016,2322.2495,502.311936
MEGHALAYA,2017,3011.9243,502.409152
TAMIL NADU,2005,289.51797,3968.441792
TAMIL NADU,2006,251.75703,5582.108224
TAMIL NADU,2007,362.97372,5582.092544
TAMIL NADU,2008,349.97018,5809.123264
TAMIL NADU,2009,309.80164,5809.289472
TAMIL NADU,2010,390.59473,5817.054208
TAMIL NADU,2011,809.3567,5857.684224
TAMIL NADU,2012,664.9549,5999.036288
TAMIL NADU,2013,308.7222,5999.036288
TAMIL NADU,2014,287.32452,5999.036288
TAMIL NADU,2015,277.6146,6000.428672
TAMIL NADU,2016,255.67856,6022.48416
TAMIL NADU,2017,403.024,6029.160704
TELANGANA,2005,898.01227,3706.64224
TELANGANA,2006,716.0386,4012.468096
TELANGANA,2007,746.1486,4040.434944
TELANGANA,2008,879.603,4047.262016
TELANGANA,2009,509.12,4047.262016
TELANGANA,2010,1050.345,4048.62304
TELANGANA,2011,606.3525,4059.611584
TELANGANA,2012,798.75775,4073.149696
TELANGANA,2013,994.9936,4073.149696
TELANGANA,2014,582.4299,4073.149696
TELANGANA,2015,686.94934,4073.44448
TELANGANA,2016,937.373,4079.10496
TELANGANA,2017,695.5439,4076.15712
UTTAR PRADESH,2005,723.88135,9881.47328
UTTAR PRADESH,2006,571.23804,8712.820928
UTTAR PRADESH,2007,652.3058,9883.163584
UTTAR PRADESH,2008,1004.9491,9997.916096
UTTAR PRADESH,2009,574.4083,10011.288
UTTAR PRADESH,2010,766.2305,10237.67584
UTTAR PRADESH,2011,871.4313,12143.15021
UTTAR PRADESH,2012,781.2748,12147.04198
UTTAR PRADESH,2013,835.0116,12147.04198
UTTAR PRADESH,2014,471.153,12147.04198
UTTAR PRADESH,2015,480.8289,12151.08742
UTTAR PRADESH,2016,743.99414,12193.7872
UTTAR PRADESH,2017,642.0961,12194.41754
UTTARAKHAND,2005,1045.4358,264.653312
UTTARAKHAND,2006,814.9081,574.505792
UTTARAKHAND,2007,1308.3289,585.230912
UTTARAKHAND,2008,981.76306,586.999616
UTTARAKHAND,2009,668.5374,598.822336
UTTARAKHAND,2010,1588.6936,656.320896
UTTARAKHAND,2011,1147.418,659.629376
UTTARAKHAND,2012,936.1707,660.783424
UTTARAKHAND,2013,1365.4456,660.968448
UTTARAKHAND,2014,915.57166,660.968448
UTTARAKHAND,2015,848.2218,661.087616
UTTARAKHAND,2016,1178.2695,661.818304
UTTARAKHAND,2017,1286.0869,659.4224
