region,year,mean_rainfall,builtup_area
AHMADABAD,2005,1383.4469,492.88512
AHMADABAD,2006,1319.0092,492.88512
AHMADABAD,2007,1094.2775,493.02624
AHMADABAD,2008,711.0213,543.801216
AHMADABAD,2009,502.18622,543.801216
AHMADABAD,2010,902.38434,543.801216
AHMADABAD,2011,1028.3069,543.418624
AHMADABAD,2012,685.8429,543.801216
AHMADABAD,2013,1038.4666,543.801216
AHMADABAD,2014,635.2426,543.801216
AHMADABAD,2015,665.8127,543.704
AHMADABAD,2016,696.31323,546.077952
AHMADABAD,2017,814.3567,545.181056
BENGALURU,2005,1223.7043,979.253632
BENGALURU,2006,572.98816,959.822976
BENGALURU,2007,806.199,986.3504
BENGALURU,2008,868.67676,992.205312
BENGALURU,2009,753.4391,1001.81088
BENGALURU,2010,1016.0497,1004.79008
BENGALURU,2011,812.3449,1004.529792
BENGALURU,2012,782.32355,1005.915904
BENGALURU,2013,797.4844,1005.915904
BENGALURU,2014,910.337,1005.93472
BENGALURU,2015,1248.171,1006.668544
BENGALURU,2016,701.3081,1006.455296
BENGALURU,2017,1088.7609,1005.821824
HYDERABAD,2005,1119.4401,1128.658944
HYDERABAD,2006,824.633,1181.83296
HYDERABAD,2007,792.02295,1189.306048
HYDERABAD,2008,997.3772,1191.921472
HYDERABAD,2009,618.5336,1191.921472
HYDERABAD,2010,1066.4473,1192.33856
HYDERABAD,2011,632.64526,1193.708992
HYDERABAD,2012,834.73676,1194.577664
HYDERABAD,2013,1133.7996,1194.577664
HYDERABAD,2014,712.8435,1194.577664
HYDERABAD,2015,761.2529,1194.70624
HYDERABAD,2016,975.04376,1196.481216
HYDERABAD,2017,822.3881,1196.553344
INDORE,2005,750.1994,227.73632
INDORE,2006,1219.6437,228.470144
INDORE,2007,809.4876,228.297664
INDORE,2008,650.23694,262.29504
INDORE,2009,880.4172,262.840704
INDORE,2010,762.87915,262.84384
INDORE,2011,1039.0833,259.45696
INDORE,2012,1019.3646,262.84384
INDORE,2013,1321.3914,262.84384
INDORE,2014,846.35376,262.84384
INDORE,2015,972.3557,262.82816
INDORE,2016,1066.7245,262.73408
INDORE,2017,780.67053,264.261312
JAIPUR,2005,517.62646,348.0176
JAIPUR,2006,356.0214,347.910976
JAIPUR,2007,461.10168,347.979968
JAIPUR,2008,725.268,349.05248
JAIPUR,2009,368.4211,349.41312
JAIPUR,2010,768.9643,351.34176
JAIPUR,2011,701.39716,351.448384
JAIPUR,2012,673.261,351.448384
JAIPUR,2013,708.2516,351.448384
JAIPUR,2014,557.0136,351.448384
JAIPUR,2015,568.80945,351.426432
JAIPUR,2016,674.9562,351.486016
JAIPUR,2017,464.00784,399.482496
NAGPUR,2005,1337.8301,330.493632
NAGPUR,2006,1044.1311,330.791552
NAGPUR,2007,1152.2863,330.835456
NAGPUR,2008,938.7264,330.835456
NAGPUR,2009,1001.44037,330.885632
NAGPUR,2010,1349.2023,330.885632
NAGPUR,2011,1027.1007,333.181184
NAGPUR,2012,1197.8215,333.290944
NAGPUR,2013,1666.2898,333.290944
NAGPUR,2014,1021.4753,333.290944
NAGPUR,2015,1078.5795,333.337984
NAGPUR,2016,1267.727,333.344256
NAGPUR,2017,877.10077,333.021248
PIMPRI CHINCHWAD,2005,6312.098,551.456192
PIMPRI CHINCHWAD,2006,2762.175,562.560768
PIMPRI CHINCHWAD,2007,2017.4486,563.269504
PIMPRI CHINCHWAD,2008,1588.3834,564.592896
PIMPRI CHINCHWAD,2009,1980.062,565.75008
PIMPRI CHINCHWAD,2010,1687.0468,565.79712
PIMPRI CHINCHWAD,2011,1483.4948,567.547008
PIMPRI CHINCHWAD,2012,1043.4291,568.613248
PIMPRI CHINCHWAD,2013,1257.7716,568.613248
PIMPRI CHINCHWAD,2014,987.2272,569.312576
PIMPRI CHINCHWAD,2015,703.4019,569.32512
PIMPRI CHINCHWAD,2016,1051.5237,587.306944
PIMPRI CHINCHWAD,2017,978.8145,587.501376
PUNE,2005,6545.599,551.148864
PUNE,2006,2415.251,562.265984
PUNE,2007,1869.701,562.9904
PUNE,2008,1486.8607,564.304384
PUNE,2009,1946.4305,565.470976
PUNE,2010,1654.4517,565.518016
PUNE,2011,1463.1757,567.233408
PUNE,2012,1045.2628,568.302784
PUNE,2013,1252.0659,568.302784
PUNE,2014,989.98944,569.002112
PUNE,2015,707.0432,568.945664
PUNE,2016,1047.5437,592.763584
PUNE,2017,986.2778,593.3312
