region,year,mean_rainfall,builtup_area
ANDHRA PRADESH,2005,1075.0099,4979.942912
ANDHRA PRADESH,2006,830.4281,5615.139712
ANDHRA PRADESH,2007,892.0693,5679.49984
ANDHRA PRADESH,2008,828.5978,5722.638656
ANDHRA PRADESH,2009,630.8363,5725.341888
ANDHRA PRADESH,2010,972.4268,5755.676416
ANDHRA PRADESH,2011,623.38947,5997.841472
ANDHRA PRADESH,2012,764.6605,6008.550912
ANDHRA PRADESH,2013,800.19226,6008.641856
ANDHRA PRADESH,2014,721.5303,6008.641856
ANDHRA PRADESH,2015,763.7689,6008.127552
ANDHRA PRADESH,2016,681.8566,6019.859328
ANDHRA PRADESH,2017,750.86304,6023.340288
BIHAR,2005,1015.9147,6303.717504
BIHAR,2006,1079.5817,6198.890432
BIHAR,2007,1391.7698,6565.708352
BIHAR,2008,1169.0156,6622.065408
BIHAR,2009,876.65735,6717.409216
BIHAR,2010,827.88574,6727.814464
BIHAR,2011,1028.5614,6845.812736
BIHAR,2012,990.9418,6894.953856
BIHAR,2013,979.6009,6895.913472
BIHAR,2014,891.7905,6895.913472
BIHAR,2015,886.4588,6896.490496
BIHAR,2016,971.72327,6895.411712
BIHAR,2017,940.72424,6895.054208
CHHATTISGARH,2005,1322.0634,4772.14528
CHHATTISGARH,2006,1454.2198,4933.172608
CHHATTISGARH,2007,1312.659,4935.038528
CHHATTISGARH,2008,1310.9205,4935.383488
CHHATTISGARH,2009,985.711,4974.10368
CHHATTISGARH,2010,1251.4109,4976.7536
CHHATTISGARH,2011,1207.1641,4965.73056
CHHATTISGARH,2012,1286.37,4981.592448
CHHATTISGARH,2013,1381.544,4982.113024
CHHATTISGARH,2014,1057.4833,4982.113024
CHHATTISGARH,2015,964.106,4982.82176
CHHATTISGARH,2016,1115.4259,5002.428032
CHHATTISGARH,2017,910.6104,4999.718528
MADHYA PRADESH,2005,989.17224,5631.265024
MADHYA PRADESH,2006,1004.5614,5620.953856
MADHYA PRADESH,2007,777.8839,5651.043776
MADHYA PRADESH,2008,883.581,5999.487872
MADHYA PRADESH,2009,786.07227,6001.984128
MADHYA PRADESH,2010,854.01874,6032.964672
MADHYA PRADESH,2011,1032.3495,6027.410816
MADHYA PRADESH,2012,948.0003,6088.327616
MADHYA PRADESH,2013,1218.0056,6088.327616
MADHYA PRADESH,2014,837.4542,6088.882688
MADHYA PRADESH,2015,825.15796,6090.381696
MADHYA PRADESH,2016,1016.0348,6183.646336
MADHYA PRADESH,2017,816.53876,6188.827008
MEGHALAYA,2005,2823.182,455.369152
MEGHALAYA,2006,1281.1533,481.137664
MEGHALAYA,2007,2307.7615,513.918272
MEGHALAYA,2008,1782.8298,526.20512
MEGHALAYA,2009,1509.2869,607.421248
MEGHALAYA,2010,2156.408,615.458816
MEGHALAYA,2011,1263.377,675.11808
MEGHALAYA,2012,1440.1309,805.039424
MEGHALAYA,2013,1320.3655,807.309888
MEGHALAYA,2014,1367.255,807.309888
MEGHALAYA,2015,1481.323,807.115456
MEGHALAYA,2016,1409.0493,807.231488
MEGHALAYA,2017,1547.2491,807.980992
TAMIL NADU,2005,1224.713,4770.489472
TAMIL NADU,2006,871.67554,6394.749312
TAMIL NADU,2007,947.3902,6426.532672
TAMIL NADU,2008,978.26465,6689.028416
TAMIL NADU,2009,811.77954,6754.272896
TAMIL NADU,2010,844.6191,6776.710976
TAMIL NADU,2011,824.2435,6839.719488
TAMIL NADU,2012,603.87714,6998.087488
TAMIL NADU,2013,551.49554,6998.087488
TAMIL NADU,2014,530.559,6998.087488
TAMIL NADU,2015,600.9316,6997.924416
TAMIL NADU,2016,338.10696,7022.905792
TAMIL NADU,2017,498.9592,7034.29888
TELANGANA,2005,1183.6245,4433.607808
TELANGANA,2006,1011.6827,4799.892608
TELANGANA,2007,980.12463,4831.487808
TELANGANA,2008,1051.8917,4841.002432
TELANGANA,2009,711.3885,4841.657856
TELANGANA,2010,1298.9686,4845.330112
TELANGANA,2011,753.3343,4867.00928
TELANGANA,2012,952.9556,4881.375296
TELANGANA,2013,1106.7761,4881.375296
TELANGANA,2014,761.0578,4881.375296
TELANGANA,2015,810.61755,4881.441152
TELANGANA,2016,865.7795,4890.178048
TELANGANA,2017,775.44885,4886.079296
UTTAR PRADESH,2005,838.2057,12383.22042
UTTAR PRADESH,2006,670.5677,11411.26739
UTTAR PRADESH,2007,819.938,12596.44646
UTTAR PRADESH,2008,990.8703,12770.8457
UTTAR PRADESH,2009,692.81665,12800.31155
UTTAR PRADESH,2010,786.685,13124.56141
UTTAR PRADESH,2011,953.94183,15059.88736
UTTAR PRADESH,2012,817.21075,15069.4553
UTTAR PRADESH,2013,1020.6074,15069.4553
UTTAR PRADESH,2014,743.957,15069.52115
UTTAR PRADESH,2015,731.4117,15081.65747
UTTAR PRADESH,2016,860.18463,15133.53946
UTTAR PRADESH,2017,718.3001,15134.09453
UTTARAKHAND,2005,1218.2482,727.282304
UTTARAKHAND,2006,866.1166,1017.986368
UTTARAKHAND,2007,1115.6031,1055.806528
UTTARAKHAND,2008,888.6835,1067.544576
UTTARAKHAND,2009,606.20514,1083.428416
UTTARAKHAND,2010,969.0644,1150.212672
UTTARAKHAND,2011,724.8874,1179.443328
UTTARAKHAND,2012,603.67316,1186.276672
UTTARAKHAND,2013,812.57635,1186.461696
UTTARAKHAND,2014,568.2797,1186.461696
UTTARAKHAND,2015,590.09906,1186.060288
UTTARAKHAND,2016,559.04767,1188.76352
UTTARAKHAND,2017,585.4109,1187.19552
