region,year,mean_rainfall,builtup_area
AHMADABAD.geojson,2005,1383.4469,492.88512
AHMADABAD.geojson,2006,1319.0092,492.88512
AHMADABAD.geojson,2007,1094.2775,493.02624
AHMADABAD.geojson,2008,711.0213,543.801216
AHMADABAD.geojson,2009,502.18622,543.801216
AHMADABAD.geojson,2010,902.38434,543.801216
AHMADABAD.geojson,2011,1028.3069,543.418624
AHMADABAD.geojson,2012,685.8429,543.801216
AHMADABAD.geojson,2013,1038.4666,543.801216
AHMADABAD.geojson,2014,635.2426,543.801216
AHMADABAD.geojson,2015,665.8127,543.704
AHMADABAD.geojson,2016,696.31323,546.077952
AHMADABAD.geojson,2017,814.3567,545.181056
BENGALURU.geojson,2005,1223.7043,979.253632
BENGALURU.geojson,2006,572.98816,959.822976
BENGALURU.geojson,2007,806.199,986.3504
BENGALURU.geojson,2008,868.67676,992.205312
BENGALURU.geojson,2009,753.4391,1001.81088
BENGALURU.geojson,2010,1016.0497,1004.79008
BENGALURU.geojson,2011,812.3449,1004.529792
BENGALURU.geojson,2012,782.32355,1005.915904
BENGALURU.geojson,2013,797.4844,1005.915904
BENGALURU.geojson,2014,910.337,1005.93472
BENGALURU.geojson,2015,1248.171,1006.668544
BENGALURU.geojson,2016,701.3081,1006.455296
BENGALURU.geojson,2017,1088.7609,1005.821824
BIHAR_STATE.geojson,2005,1015.9147,6303.717504
BIHAR_STATE.geojson,2006,1079.5817,6198.890432
BIHAR_STATE.geojson,2007,1391.7698,6565.708352
BIHAR_STATE.geojson,2008,1169.0156,6622.065408
BIHAR_STATE.geojson,2009,876.65735,6717.409216
BIHAR_STATE.geojson,2010,827.88574,6727.814464
BIHAR_STATE.geojson,2011,1028.5614,6845.812736
BIHAR_STATE.geojson,2012,990.9418,6894.953856
BIHAR_STATE.geojson,2013,979.6009,6895.913472
BIHAR_STATE.geojson,2014,891.7905,6895.913472
BIHAR_STATE.geojson,2015,886.4588,6896.490496
BIHAR_STATE.geojson,2016,971.72327,6895.411712
BIHAR_STATE.geojson,2017,940.72424,6895.054208
CHENNAI.geojson,2005,1031.3348,536.20896
CHENNAI.geojson,2006,669.94946,673.418368
CHENNAI.geojson,2007,609.6539,673.387008
CHENNAI.geojson,2008,663.92615,674.613184
CHENNAI.geojson,2009,517.53674,674.613184
CHENNAI.geojson,2010,647.248,675.720192
CHENNAI.geojson,2011,529.1414,681.082752
CHENNAI.geojson,2012,485.25403,684.491584
CHENNAI.geojson,2013,385.63574,684.491584
CHENNAI.geojson,2014,351.8203,684.491584
